លរ,អត្តលេខមន្ត្រី,នាមត្រកូល (KH),នាមខ្លួន (KH),Last Name (EN),First Name (EN),ភេទ,ថ្ងៃ.ខែ. ឆ្នាំកំណើត,សញ្ជាតិ,សញ្ជាតិ2,ការិយាល័យ,តួនាទី,កម្រិតវប្បធម៌,ថ្ងៃ.ខែ.ឆ្នាំ ចូលបម្រើការងារ,Column1,Username
11,00011,លីម,បរិញ្ញា,Lim,Parinya,ប្រុស,11 January 1980,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,ប្រធាន,បរិញ្ញាប័ត្រ,17 July 2010,super admin,parinyalim
12,00012,ឃៀម,លីលី,Khiem,Lyly,ស្រី,12 January 1980,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,អនុប្រធាន,បរិញ្ញាប័ត្រ,18 July 2010,officer,lylykhiem
13,00013,សោម,ស៊ីថា,Som,Setha,ស្រី,13 January 1980,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,អនុប្រធាន,បរិញ្ញាប័ត្រ,19 July 2010,officer,sethasom
14,00014,នៅ,វៃ,Nov,Vai,ប្រុស,14 January 1980,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,20 July 2010,officer,vainov
15,00015,ប៉ាត,ប៉ែនការ៉ូលីណា,Pat,Penkarolina,ស្រី,15 January 1980,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,21 July 2010,officer,penkarolinapat
16,00016,ថូត,ផានិត,Thot,Phanit,ប្រុស,16 January 1980,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,22 July 2010,officer,phanitthot
17,00017,គង់,ឌីណា,Kong,Dina,ប្រុស,17 January 1980,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,23 July 2010,officer,dinakong
18,00018,គ្រុយ,សុគន្ធរដ្ឋរស្មី,Kruy,Sokunrath Rasmey,ស្រី,18 January 1980,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,24 July 2010,officer,sokunrathrasmeykruy
19,00019,ឃូ,សុខជា,Khu,Sokchea,ប្រុស,19 January 1980,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,25 July 2010,officer,sokcheakhu
20,00020,សំ,គឹមហែម,Sam,Kimhem,ប្រុស,20 January 1980,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,26 July 2010,officer,kimhemsam
21,00021,ឃុន,ស៊ីណេង,Khun,Sineng,ប្រុស,21 January 1980,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,27 July 2010,officer,sinengkhun
22,00022,ប្រាក់,ឆវី,Prak,Chhavy,ស្រី,22 January 1980,ខ្មែរ,ខ្មែរ,លេខាធិកាក្រុមប្រឹក្សា,ប្រធាន,បរិញ្ញាប័ត្រ,28 July 2010,head-office,chhavyprak
23,00023,គេន,សារ៉ន,Ken,Saron,ប្រុស,23 January 1980,ខ្មែរ,ខ្មែរ,លេខាធិកាក្រុមប្រឹក្សា,អនុប្រធាន,បរិញ្ញាប័ត្រ,29 July 2010,officer,saronken
24,00024,សុខ,ធារិទ្ធ,Sok,Thearith,ប្រុស,24 January 1980,ខ្មែរ,ខ្មែរ,លេខាធិកាក្រុមប្រឹក្សា,អនុប្រធាន,បរិញ្ញាប័ត្រ,30 July 2010,officer,thearithsok
25,00025,ហេង,រតនា,Heng,Ratana,ស្រី,25 January 1980,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,ប្រធាន,បរិញ្ញាប័ត្រ,31 July 2010,head-office,ratanaheng
26,00026,នាក់,សុភី,Neak,Sophea,ស្រី,26 January 1980,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,អនុប្រធាន,បរិញ្ញាប័ត្រ,01 August 2010,officer,sopheaneak
27,00027,ថង,ម៉ារ៉ាឌី,Thong,Marady,ស្រី,27 January 1980,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,អនុប្រធាន,បរិញ្ញាប័ត្រ,02 August 2010,officer,maradythong
28,00028,ជែល,គីមហេន,Chel,Kimhen,ស្រី,28 January 1980,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,មន្ត្រី,បរិញ្ញាប័ត្រ,03 August 2010,officer,kimhenchel
29,00029,ប៉ោយ,ប៉ូលី,Poy,Poli,ប្រុស,29 January 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,ប្រធាន,បរិញ្ញាប័ត្រ,04 August 2010,head-office,polipoy
30,00030,អៀង,សារ៉ាវណ្ណា,Ieng,Saravanna,ប្រុស,30 January 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,អនុប្រធាន,បរិញ្ញាប័ត្រ,05 August 2010,officer,saravannaieng
31,00031,ទា,ចំរ៉ុង,Tea,Chamrong,ប្រុស,31 January 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,អនុប្រធាន,បរិញ្ញាប័ត្រ,06 August 2010,officer,chamrongtea
32,00032,ប្រាក់,ម៉ាលីណែត,Prak,Malynet,ស្រី,01 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,អនុប្រធាន,បរិញ្ញាប័ត្រ,07 August 2010,officer,malynetprak
33,00033,ជ,មានហុក,Chea,Meanhok,ប្រុស,02 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,អនុប្រធាន,បរិញ្ញាប័ត្រ,08 August 2010,officer,meanhokchea
34,00034,ទន,សេងហុង,Tun,Senghong,ប្រុស,03 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,អនុប្រធាន,បរិញ្ញាប័ត្រ,09 August 2010,officer,senghongtun
35,00035,ខេមរា,តារាឫទ្ធិ,Khemara,Tararith,ប្រុស,04 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,អនុប្រធាន,បរិញ្ញាប័ត្រ,10 August 2010,officer,tararithkhemara
36,00036,កែ,ប៊ុនរិទ្ធីវុធ,Ke,Bunrithyvuth,ប្រុស,05 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,អនុប្រធាន,បរិញ្ញាប័ត្រ,11 August 2010,officer,bunrithyvuthke
37,00037,ថន,វណ្ណារ៉ា,Thon,Vannara,ប្រុស,06 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,អនុប្រធាន,បរិញ្ញាប័ត្រ,12 August 2010,officer,vannarathon
38,00038,អ៊ាន,មុន្នីរ័ត្ន,Ean,Monyroth,ប្រុស,07 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,អនុប្រធាន,បរិញ្ញាប័ត្រ,13 August 2010,officer,monyrothean
39,00039,សុខ,បូរិន,Sok,Borin,ប្រុស,08 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,អនុប្រធាន,បរិញ្ញាប័ត្រ,14 August 2010,officer,borinsok
40,00040,ហង់,ជាន,Hang,Chean,ប្រុស,09 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,អនុប្រធាន,បរិញ្ញាប័ត្រ,15 August 2010,officer,cheanhang
41,00041,ហុក,ស៊ីនណារ៉ា,Hok,Sinnara,ប្រុស,10 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,អនុប្រធាន,បរិញ្ញាប័ត្រ,16 August 2010,officer,sinnarahok
42,00042,ម៉ី,ចន្ទឧត្តម,Mey,Chanudom,ប្រុស,11 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,17 August 2010,officer,chanudommey
43,00043,ដាំ,ច័ន្ទអេលីណា,Dam,Chanelina,ស្រី,12 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,18 August 2010,officer,chanelinadam
44,00044,ណាក,ស្រីគន្ធី,Neak,Sreykunthea,ស្រី,13 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,19 August 2010,officer,sreykuntheaneak
45,00045,ណាក,ស្រីគន្ធា,Neak,Sreykuntha,ស្រី,14 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,20 August 2010,officer,sreykunthaneak
46,00046,មាស,ចន្ត្រា,Meas,Chantra,ប្រុស,15 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,21 August 2010,officer,chantrameas
47,00047,សួន,រស្មីកាពិសាល,Suon,Rasmey Piseal,ប្រុស,16 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,22 August 2010,officer,rasmeypisealsuon
48,00048,ឥន្ទ,អេដែន,In,Eden,ស្រី,17 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,23 August 2010,officer,edenin
49,00049,យឹម,រតនា,Yim,Ratana,ប្រុស,18 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,24 August 2010,officer,ratanayim
50,00050,យុង,ចំរើន,Yung,Chamroeun,ប្រុស,19 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,25 August 2010,officer,chamroeunyung
51,00051,លូ,ណូរ៉ា,Lou,Nora,ប្រុស,20 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,26 August 2010,officer,noralou
52,00052,រតន៍,ជីវិលរី,Rath,Chivilry,ស្រី,21 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,27 August 2010,officer,chivilryrath
53,00053,ជិន,បូរ៉ាវី,Chin,Boravy,ស្រី,22 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,28 August 2010,officer,boravychin
54,00054,ជួន,សុភ័ក្រ,Chuon,Sophak,ស្រី,23 February 1980,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,29 August 2010,officer,sophakchuon
55,00055,ខា,សុគន្ធ,Kha,Sokun,ប្រុស,24 February 1980,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,ប្រធាន,បរិញ្ញាប័ត្រ,30 August 2010,head-office,sokunkha
56,00056,ផា,ច័ន្ទដាណូ,Phea,Chandano,ប្រុស,25 February 1980,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,អនុប្រធាន,បរិញ្ញាប័ត្រ,31 August 2010,officer,chandanophea
57,00057,ថៃ,ពុទ្ធាវី,Thai,Putthavy,ស្រី,26 February 1980,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,អនុប្រធាន,បរិញ្ញាប័ត្រ,01 September 2010,officer,putthavythai
58,00058,សេង,សុផា,Seng,Sophea,ប្រុស,27 February 1980,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,មន្ត្រី,បរិញ្ញាប័ត្រ,02 September 2010,officer,sopheaseng
59,00059,ព្រឿង,រិទ្ធី,Prueng,Rithy,ប្រុស,28 February 1980,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,មន្ត្រី,បរិញ្ញាប័ត្រ,03 September 2010,officer,rithyprueng
60,00060,សំ,សុធាវី,Sam,Sothavy,ស្រី,29 February 1980,ខ្មែរ,ខ្មែរ,អង្គភាពលទ្ធកម្ម,ប្រធាន,បរិញ្ញាប័ត្រ,04 September 2010,head-office,sothavysam
61,00061,ឡុង,ច័ន្ទធីតា,Long,Chanthita,ស្រី,01 March 1980,ខ្មែរ,ខ្មែរ,អង្គភាពលទ្ធកម្ម,អនុប្រធាន,បរិញ្ញាប័ត្រ,05 September 2010,officer,chanthitalong
62,00062,ស៊ីម,មករា,Sim,Makara,ប្រុស,02 March 1980,ខ្មែរ,ខ្មែរ,អង្គភាពលទ្ធកម្ម,អនុប្រធាន,បរិញ្ញាប័ត្រ,06 September 2010,officer,makarasim
63,00063,ឡា,បុប្ជា,La,Bopha,ស្រី,03 March 1980,ខ្មែរ,ខ្មែរ,ច្រកចេញចូលតែមួយ,ប្រធាន,បរិញ្ញាប័ត្រ,07 September 2010,head-office,bophala
64,00064,ធា,ហ្វីអ៊ី,Thea,Pheary,ប្រុស,04 March 1980,ខ្មែរ,ខ្មែរ,ច្រកចេញចូលតែមួយ,អនុប្រធាន,បរិញ្ញាប័ត្រ,08 September 2010,officer,phearythea
65,00065,ធុធ,ប៊ុនធា,Thuth,Buntha,ប្រុស,05 March 1980,ខ្មែរ,ខ្មែរ,ច្រកចេញចូលតែមួយ,អនុប្រធាន,បរិញ្ញាប័ត្រ,09 September 2010,officer,bunthathuth
66,00066,ម៉ុន,បូរី,Mon,Borey,ស្រី,06 March 1980,ខ្មែរ,ខ្មែរ,ច្រកចេញចូលតែមួយ,មន្ត្រី,បរិញ្ញាប័ត្រ,10 September 2010,officer,boreymon
67,00067,រិន,ដារ៉ា,Rin,Dara,ប្រុស,07 March 1980,ខ្មែរ,ខ្មែរ,ច្រកចេញចូលតែមួយ,មន្ត្រី,បរិញ្ញាប័ត្រ,11 September 2010,officer,dararin
68,00068,ស៊ឹម,វណ្ណារី,Sim,Vannary,ស្រី,08 March 1980,ខ្មែរ,ខ្មែរ,ច្រកចេញចូលតែមួយ,មន្ត្រី,បរិញ្ញាប័ត្រ,12 September 2010,officer,vannarysim
69,00069,អ៊ុក,សុភា,Uk,Sophea,ប្រុស,09 March 1980,ខ្មែរ,ខ្មែរ,សេដ្ឋកិច្ច និងអភិវឌ្ឍន៍សហគមន៍,ប្រធាន,បរិញ្ញាប័ត្រ,13 September 2010,head-office,sopheauk
70,00070,សៀ,សូភឿង,Sie,Sophuong,ស្រី,10 March 1980,ខ្មែរ,ខ្មែរ,សេដ្ឋកិច្ច និងអភិវឌ្ឍន៍សហគមន៍,អនុប្រធាន,បរិញ្ញាប័ត្រ,14 September 2010,officer,sophuongsie
71,00071,សៅ,សុគន្ធាវី,Sao,Sokuntheavy,ស្រី,11 March 1980,ខ្មែរ,ខ្មែរ,សេដ្ឋកិច្ច និងអភិវឌ្ឍន៍សហគមន៍,អនុប្រធាន,បរិញ្ញាប័ត្រ,15 September 2010,officer,sokuntheavysao
72,00072,ឃុន,ពេជ្រ,Khun,Pech,ប្រុស,12 March 1980,ខ្មែរ,ខ្មែរ,សេដ្ឋកិច្ច និងអភិវឌ្ឍន៍សហគមន៍,មន្ត្រី,បរិញ្ញាប័ត្រ,16 September 2010,officer,pechkhun
73,00073,លៀម,វណ្ណា,Liem,Vanna,ប្រុស,13 March 1980,ខ្មែរ,ខ្មែរ,សេដ្ឋកិច្ច និងអភិវឌ្ឍន៍សហគមន៍,មន្ត្រី,បរិញ្ញាប័ត្រ,17 September 2010,officer,vannaliem
74,00074,សុទ្ធ,សេងហៀក,Soth,Sengheak,ស្រី,14 March 1980,ខ្មែរ,ខ្មែរ,សេដ្ឋកិច្ច និងអភិវឌ្ឍន៍សហគមន៍,មន្ត្រី,បរិញ្ញាប័ត្រ,18 September 2010,officer,sengheaksoth
75,00075,មាន,សុផាន្នី,Mean,Sophanny,ប្រុស,15 March 1980,ខ្មែរ,ខ្មែរ,សង្គមកិច្ច និងសុខុមាលភាពសង្គម,ប្រធាន,បរិញ្ញាប័ត្រ,19 September 2010,head-office,sophannymean
76,00076,សួង,ការីណាគ្រឹស្នា,Suong,Karina Krisna,ស្រី,16 March 1980,ខ្មែរ,ខ្មែរ,សង្គមកិច្ច និងសុខុមាលភាពសង្គម,អនុប្រធាន,បរិញ្ញាប័ត្រ,20 September 2010,officer,karinakrisnasuong
77,00077,តុប,សុផានី,Tub,Sophany,ស្រី,17 March 1980,ខ្មែរ,ខ្មែរ,សង្គមកិច្ច និងសុខុមាលភាពសង្គម,អនុប្រធាន,បរិញ្ញាប័ត្រ,21 September 2010,officer,sophanytub
78,00078,អៀម,សិលដុល្លា,Iem,Sildolla,ប្រុស,18 March 1980,ខ្មែរ,ខ្មែរ,សង្គមកិច្ច និងសុខុមាលភាពសង្គម,មន្ត្រី,បរិញ្ញាប័ត្រ,22 September 2010,officer,sildollaiem
79,00079,គង់,សុទ្ធារី,Kong,Sotthary,ប្រុស,19 March 1980,ខ្មែរ,ខ្មែរ,សង្គមកិច្ច និងសុខុមាលភាពសង្គម,មន្ត្រី,បរិញ្ញាប័ត្រ,23 September 2010,officer,sottharykong
80,00080,វ៉ាន់,ដាវី,Van,Davy,ស្រី,20 March 1980,ខ្មែរ,ខ្មែរ,សង្គមកិច្ច និងសុខុមាលភាពសង្គម,មន្ត្រី,បរិញ្ញាប័ត្រ,24 September 2010,officer,davyvan
81,00081,លឹម,តារា,Lim,Tara,ប្រុស,21 March 1980,ខ្មែរ,ខ្មែរ,សង្គមកិច្ច និងសុខុមាលភាពសង្គម,មន្ត្រី,បរិញ្ញាប័ត្រ,25 September 2010,officer,taralim
82,00082,ធាម,ច័ន្ទសេរីវុឌ្ឍ,Tham,Chan Sereyvuth,ប្រុស,22 March 1980,ខ្មែរ,ខ្មែរ,សាធារណៈការ ដឹកជញ្ជូន អនាម័យ បរិស្ថាន និងសណ្ដាប់ធ្នាប់សាធារណៈ,ប្រធាន,បរិញ្ញាប័ត្រ,26 September 2010,head-office,chansereyvuththam
83,00083,លឹម,កែន,Lim,Ken,ប្រុស,23 March 1980,ខ្មែរ,ខ្មែរ,សាធារណៈការ ដឹកជញ្ជូន អនាម័យ បរិស្ថាន និងសណ្ដាប់ធ្នាប់សាធារណៈ,អនុប្រធាន,បរិញ្ញាប័ត្រ,27 September 2010,officer,kenlim
84,00084,ដៀប,វ៉ាន់ដារ៉ាត់,Diep,Vandarath,ប្រុស,24 March 1980,ខ្មែរ,ខ្មែរ,សាធារណៈការ ដឹកជញ្ជូន អនាម័យ បរិស្ថាន និងសណ្ដាប់ធ្នាប់សាធារណៈ,អនុប្រធាន,បរិញ្ញាប័ត្រ,28 September 2010,officer,vandarathdiep
85,00085,ប៉ោ,ច័ន្ទម៉ារ៉ាឌី,Pov,Chanmarady,ប្រុស,25 March 1980,ខ្មែរ,ខ្មែរ,សាធារណៈការ ដឹកជញ្ជូន អនាម័យ បរិស្ថាន និងសណ្ដាប់ធ្នាប់សាធារណៈ,មន្ត្រី,បរិញ្ញាប័ត្រ,29 September 2010,officer,chanmaradypov
86,00086,គឹម,យិនដា,Kim,Yinda,ប្រុស,26 March 1980,ខ្មែរ,ខ្មែរ,អប់រំ យុវជន និងកីឡា,ប្រធាន,បរិញ្ញាប័ត្រ,30 September 2010,head-office,yindakim
87,00087,វ៉ែន,ពៅ,Ven,Pov,ប្រុស,27 March 1980,ខ្មែរ,ខ្មែរ,អប់រំ យុវជន និងកីឡា,អនុប្រធាន,បរិញ្ញាប័ត្រ,01 October 2010,officer,povven
88,00088,គង់,ចិន្ត្រា,Kong,Chintra,ប្រុស,28 March 1980,ខ្មែរ,ខ្មែរ,អប់រំ យុវជន និងកីឡា,អនុប្រធាន,បរិញ្ញាប័ត្រ,02 October 2010,officer,chintrakong
89,00089,កុយ,វាសនា,Kuy,Veasna,ស្រី,29 March 1980,ខ្មែរ,ខ្មែរ,អប់រំ យុវជន និងកីឡា,មន្ត្រី,បរិញ្ញាប័ត្រ,03 October 2010,officer,veasnakuy
90,00090,ម៉ែន,តុលា,Men,Tola,ប្រុស,30 March 1980,ខ្មែរ,ខ្មែរ,អប់រំ យុវជន និងកីឡា,មន្ត្រី,បរិញ្ញាប័ត្រ,04 October 2010,officer,tolamen
91,00091,ហ៊ាន,ដាលីស,Hean,Dalis,ស្រី,31 March 1980,ខ្មែរ,ខ្មែរ,អប់រំ យុវជន និងកីឡា,មន្ត្រី,បរិញ្ញាប័ត្រ,05 October 2010,officer,dalishean
92,00092,ឈឺន,ណាវុន,Chhoeun,Navun,ស្រី,01 April 1980,ខ្មែរ,ខ្មែរ,អប់រំ យុវជន និងកីឡា,មន្ត្រី,បរិញ្ញាប័ត្រ,06 October 2010,officer,navunchhoeun
93,00093,ជុំ,វណ្ណដា,Chum,Vannada,ស្រី,02 April 1980,ខ្មែរ,ខ្មែរ,អប់រំ យុវជន និងកីឡា,មន្ត្រី,បរិញ្ញាប័ត្រ,07 October 2010,officer,vannadachum
94,00094,ឯក,សំអឿន,Ek,Samoeun,ប្រុស,03 April 1980,ខ្មែរ,ខ្មែរ,អប់រំ យុវជន និងកីឡា,មន្ត្រី,បរិញ្ញាប័ត្រ,08 October 2010,officer,samoeunek
95,00095,សេង,តូ,Seng,To,ប្រុស,04 April 1980,ខ្មែរ,ខ្មែរ,អប់រំ យុវជន និងកីឡា,មន្ត្រី,បរិញ្ញាប័ត្រ,09 October 2010,officer,toseng
96,00096,ខឹម,ចំណាន,Khim,Chamnan,ប្រុស,05 April 1980,ខ្មែរ,ខ្មែរ,អប់រំ យុវជន និងកីឡា,មន្ត្រី,បរិញ្ញាប័ត្រ,10 October 2010,officer,chamnankhim
97,00097,ស៊ិ្រន,កែវ,Srin,Keo,ប្រុស,06 April 1980,ខ្មែរ,ខ្មែរ,អប់រំ យុវជន និងកីឡា,មន្ត្រី,បរិញ្ញាប័ត្រ,11 October 2010,officer,keosrin
98,00098,គង់,មន្នី,Kong,Mony,ប្រុស,07 April 1980,ខ្មែរ,ខ្មែរ,អប់រំ យុវជន និងកីឡា,មន្ត្រី,បរិញ្ញាប័ត្រ,12 October 2010,officer,monykong
99,00099,ចាន់,ស៊ីនួន,Chan,Sinuon,ស្រី,08 April 1980,ខ្មែរ,ខ្មែរ,អប់រំ យុវជន និងកីឡា,មន្ត្រី,បរិញ្ញាប័ត្រ,13 October 2010,officer,sinuonchan
,,,,,,,,,,,,,,,
