អត្តលេខមន្ត្រី,ល.រ,នាមត្រកូល(KH),នាមខ្លួន(KH),Last Name(EN),First Name(EN),ភេទ,ថ្ងៃ ខែ ឆ្នាំ កំណើត,ជនជាតិ,សញ្ជាតិ,ការិយាល័យ,តួនាទី,កម្រិតវប្បធម៌,ថ្ងៃ ខែ ឆ្នាំ ចូលបម្រើការងារ,Role,Username
379291540,12,ទេព,មករា,Tep,Makara,ប្រុស,12/08/1988,ខ្មែរ,ខ្មែរ,គណៈនាយករដ្ឋបាល,នាយករងរដ្ឋបាល,បរិញ្ញាប័ត្រ,04/02/2011,officer,makaratep
992712094,13,ហួត,ដាលីន,Huot,Dalin,ស្រី,22/09/1998,ខ្មែរ,ខ្មែរ,គណៈនាយករដ្ឋបាល,មន្ត្រីកិច្ចសន្យា,មធ្យមសិក្សាទុតិយភូមិ,06/02/2017,officer,dalinhuot
653163158,14,សេង,រ័ត្ន,Seng,Rath,ស្រី,23/12/1986,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,ប្រធាន,បរិញ្ញាប័ត្រជាន់ខ្ពស់,02/08/2022,admin,rathseng
635175209,15,ឈឹម,ដាលីន,Chhim,Dalin,ស្រី,21/02/1987,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,អនុប្រធាន,បរិញ្ញាប័ត្រ,12/02/2011,officer,dalinchhim
100229748,16,ពៅ,ស្រីនាង,Pov,Srey Neang,ស្រី,01/08/1976,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,អនុប្រធាន,បរិញ្ញាប័ត្រ,19/02/2004,officer,sreyneangpov
907298165,17,ខៀវ,ស្រីនាង,Khiev,Srey Neang,ស្រី,20/02/1992,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,20/02/2011,officer,sreyneangkhiev
840620525,18,គង់,រ័ត្ន,Kong,Rath,ស្រី,19/11/1995,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,01/12/2024,officer,rathkong
641940465,19,ម៉ៅ,វាសនា,Mao,Veasna,ប្រុស,20/03/2003,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,05/02/2025,officer,veasnamao
542423666,20,គឹម,ស្រីនាង,Kim,Srey Neang,ស្រី,10/10/1989,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,28/02/2019,officer,sreyneangkim
178848440,21,ហួត,ពិសី,Huot,Pisey,ស្រី,04/01/1997,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,17/05/2019,officer,piseyhuot
451929677,22,ទេព,សុខា,Tep,Sokha,ប្រុស,17/01/1985,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,25/05/2024,officer,sokhatep
964296256,23,ហេង,ដាលីន,Heng,Dalin,ស្រី,19/08/2000,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,26/07/2025,officer,dalinheng
742333410,24,រិទ្ធ,មករា,Rith,Makara,ប្រុស,11/10/1998,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,03/12/2021,officer,makararith
286148083,25,ឡុង,វិចិត្រ,Long,Vichet,ប្រុស,21/04/1986,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,20/12/2024,officer,vichetlong
863371907,26,ស៊ុន,វាសនា,Sun,Veasna,ប្រុស,07/11/1999,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,11/04/2023,officer,veasnasun
518728644,27,ទេព,មករា,Tep,Makara,ប្រុស,06/03/2001,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,05/04/2021,officer,makaratep1
469438031,28,ឡុង,ម៉ាលី,Long,Maly,ស្រី,10/07/1987,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,20/09/2009,officer,malylong
449813560,29,សេង,វិសាល,Seng,Visal,ប្រុស,15/05/1998,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,09/05/2018,officer,visalseng
199986403,30,លី,ដាលីន,Ly,Dalin,ស្រី,08/04/1988,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,18/05/2006,officer,dalinly
477636853,31,គឹម,រ័ត្ន,Kim,Rath,ស្រី,28/06/1985,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រី,បរិញ្ញាប័ត្រ,09/07/2010,officer,rathkim
711855694,32,ខៀវ,វិចិត្រ,Khiev,Vichet,ប្រុស,24/10/2002,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រីកិច្ចសន្យា,មធ្យមសិក្សាទុតិយភូមិ,06/01/2022,officer,vichetkhiev
283905224,33,អ៊ុំ,សុភា,Um,Sophea,ស្រី,04/05/1988,ខ្មែរ,ខ្មែរ,រដ្ឋបាល និងបុគ្គលិក,មន្ត្រីកិច្ចសន្យា,បរិញ្ញាប័ត្រ,13/02/2016,officer,sopheaum
643986279,34,ប៉ែន,ដារា,Pen,Dara,ប្រុស,21/11/1977,ខ្មែរ,ខ្មែរ,លេខាធិការក្រុមប្រឹក្សា,ប្រធាន,បរិញ្ញាប័ត្រ,07/10/2004,head-office,darapen
375011139,35,រិទ្ធ,សុភា,Rith,Sophea,ស្រី,06/06/1981,ខ្មែរ,ខ្មែរ,លេខាធិការក្រុមប្រឹក្សា,អនុប្រធាន,បរិញ្ញាប័ត្រជាន់ខ្ពស់,13/09/2011,officer,sophearith
352571328,36,គឹម,ដារា,Kim,Dara,ប្រុស,02/01/1985,ខ្មែរ,ខ្មែរ,លេខាធិការក្រុមប្រឹក្សា,អនុប្រធាន,បរិញ្ញាប័ត្រ,01/05/2007,officer,darakim
476139084,37,លី,វិសាល,Ly,Visal,ប្រុស,19/09/2006,ខ្មែរ,ខ្មែរ,លេខាធិការក្រុមប្រឹក្សា,មន្ត្រី,បរិញ្ញាប័ត្រ,02/12/2025,officer,visally
737864324,38,ខៀវ,ដាលីន,Khiev,Dalin,ស្រី,20/06/1997,ខ្មែរ,ខ្មែរ,លេខាធិការក្រុមប្រឹក្សា,មន្ត្រី,បរិញ្ញាប័ត្រ,19/11/2017,officer,dalinkhiev
831651642,39,អ៊ុំ,ម៉ាលី,Um,Maly,ស្រី,28/06/2006,ខ្មែរ,ខ្មែរ,លេខាធិការក្រុមប្រឹក្សា,មន្ត្រី,បរិញ្ញាប័ត្រ,23/11/2025,officer,malyum
454923266,40,វ៉ាន់,ម៉ាលី,Van,Maly,ស្រី,10/01/1998,ខ្មែរ,ខ្មែរ,លេខាធិការក្រុមប្រឹក្សា,មន្ត្រីកិច្ចសន្យា,មធ្យមសិក្សាទុតិយភូមិ,27/10/2023,officer,malyvan
467739231,41,វ៉ាន់,ស្រីនាង,Van,Srey Neang,ស្រី,01/10/1982,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,ប្រធាន,បរិញ្ញាប័ត្រ,25/01/2025,officer,sreyneangvan
140070680,42,ចាន់,វាសនា,Chan,Veasna,ប្រុស,04/10/1977,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,អនុប្រធាន,បរិញ្ញាប័ត្រជាន់ខ្ពស់,21/04/2005,officer,veasnachan
482221433,43,ណុប,វាសនា,Nop,Veasna,ប្រុស,19/07/1972,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,អនុប្រធាន,បរិញ្ញាប័ត្រ,31/08/2005,officer,veasnanop
234441134,44,ឯក,ម៉ាលី,Ek,Maly,ស្រី,08/11/1998,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,មន្ត្រី,បរិញ្ញាប័ត្រ,18/07/2025,officer,malyek
117819606,45,សុខ,វាសនា,Sok,Veasna,ប្រុស,08/03/1993,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,15/09/2011,officer,veasnasok
292524312,46,គឹម,ដាលីន,Kim,Dalin,ស្រី,21/03/1995,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,23/03/2015,officer,dalinkim
160404143,47,ស៊ុន,វាសនា,Sun,Veasna,ប្រុស,17/11/1995,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,30/12/2020,officer,veasnasun1
900144583,48,ទូច,សុវណ្ណ,Touch,Sovann,ប្រុស,17/11/1992,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,មន្ត្រី,បរិញ្ញាប័ត្រ,05/04/2014,officer,sovanntouch
502359538,49,មាស,រ័ត្ន,Meas,Rath,ស្រី,11/05/2002,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,មន្ត្រី,បរិញ្ញាប័ត្រ,12/08/2022,officer,rathmeas
723392705,50,ទេព,ដាលីន,Tep,Dalin,ស្រី,26/08/2002,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,05/06/2024,officer,dalintep
973761791,51,ឈឹម,នីតា,Chhim,Nita,ស្រី,01/08/1989,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,13/07/2015,officer,nitachhim
884914168,52,ទេព,ស្រីពេជ្រ,Tep,Srey Pich,ស្រី,12/05/1987,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,មន្ត្រី,បរិញ្ញាប័ត្រ,15/08/2017,officer,sreypichtep
846895061,53,គឹង,ពិសី,Kung,Pisey,ស្រី,07/09/1985,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,មន្ត្រី,បរិញ្ញាប័ត្រ,28/09/2022,officer,piseykung
810569828,54,ឯក,ស្រីពេជ្រ,Ek,Srey Pich,ស្រី,26/09/2002,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,មន្ត្រីកិច្ចសន្យា,មធ្យមសិក្សាទុតិយភូមិ,07/05/2024,officer,sreypichek
687863301,55,លី,វាសនា,Ly,Veasna,ប្រុស,13/12/1989,ខ្មែរ,ខ្មែរ,ផែនការ និងហិរញ្ញវត្ថុ,មន្ត្រីកិច្ចសន្យា,បរិញ្ញាប័ត្រ,06/06/2015,officer,veasnaly
406637893,56,ចាន់,សុភា,Chan,Sophea,ស្រី,10/05/1977,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,ប្រធាន,បរិញ្ញាប័ត្រជាន់ខ្ពស់,10/04/2024,officer,sopheachan
795550836,57,ឯក,ពិសី,Ek,Pisey,ស្រី,28/01/1992,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,អនុប្រធាន,បរិញ្ញាប័ត្រជាន់ខ្ពស់,31/08/2023,officer,piseyek
678850369,58,ណុប,ម៉ាលី,Nop,Maly,ស្រី,06/01/1988,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,អនុប្រធាន,បរិញ្ញាប័ត្រជាន់ខ្ពស់,26/01/2013,officer,malynop
502177935,59,សុខ,មករា,Sok,Makara,ប្រុស,23/11/2001,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,01/12/2019,officer,makarasok
235854608,60,វ៉ាន់,សុខា,Van,Sokha,ប្រុស,20/03/2002,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,31/12/2022,officer,sokhavan
423728089,61,ទូច,សុខា,Touch,Sokha,ប្រុស,09/07/1987,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,11/05/2019,officer,sokhatouch
989748816,62,ទូច,សុខា,Touch,Sokha,ប្រុស,17/09/1988,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,01/04/2012,officer,sokhatouch1
968033334,63,រិទ្ធ,ដាលីន,Rith,Dalin,ស្រី,25/02/1987,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,14/02/2007,officer,dalinrith
702987681,64,ស៊ីម,សុភា,Sim,Sophea,ស្រី,14/06/1990,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,22/10/2019,officer,sopheasim
965841450,65,ខន,រ័ត្ន,Khon,Rath,ស្រី,06/06/1997,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,18/08/2017,officer,rathkhon
328573374,66,គឹង,នីតា,Kung,Nita,ស្រី,27/07/1996,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,16/02/2023,officer,nitakung
226536269,67,ខន,បញ្ញា,Khon,Panha,ប្រុស,11/05/1998,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,23/09/2025,officer,panhakhon
387952745,68,ស៊ុន,សុភា,Sun,Sophea,ស្រី,18/03/1993,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,08/04/2025,officer,sopheasun
779884647,69,គង់,សុខា,Kong,Sokha,ប្រុស,19/05/1993,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,26/08/2021,officer,sokhakong
829258548,70,សុខ,ម៉ាលី,Sok,Maly,ស្រី,11/07/2006,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,16/10/2024,officer,malysok
877857320,71,គឹម,នីតា,Kim,Nita,ស្រី,02/06/2005,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,15/07/2024,officer,nitakim
756820576,72,ស៊ីម,ដារា,Sim,Dara,ប្រុស,19/06/1989,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,30/11/2021,officer,darasim
783189853,73,ទូច,ដាលីន,Touch,Dalin,ស្រី,25/01/1985,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,05/12/2012,officer,dalintouch
768753987,74,ហេង,វិសាល,Heng,Visal,ប្រុស,17/08/1991,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,02/11/2015,officer,visalheng
454317051,75,ឡុង,ស្រីនាង,Long,Srey Neang,ស្រី,04/01/2002,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,03/10/2021,officer,sreyneanglong
864320496,76,ពៅ,បញ្ញា,Pov,Panha,ប្រុស,19/02/1994,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,បរិញ្ញាប័ត្រ,27/06/2021,officer,panhapov
888395619,77,សុខ,វិចិត្រ,Sok,Vichet,ប្រុស,06/01/1998,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,08/03/2022,officer,vichetsok
374179532,78,អ៊ុំ,បញ្ញា,Um,Panha,ប្រុស,11/06/1995,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រីកិច្ចសន្យា,មធ្យមសិក្សាទុតិយភូមិ,14/03/2024,officer,panhaum
123379797,79,ស៊ុន,រ័ត្ន,Sun,Rath,ស្រី,16/11/1986,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រីកិច្ចសន្យា,មធ្យមសិក្សាទុតិយភូមិ,12/11/2007,officer,rathsun
886135614,80,ស៊ីម,រ័ត្ន,Sim,Rath,ស្រី,09/06/1991,ខ្មែរ,ខ្មែរ,ដែនដី នគរូបនីយកម្ម សំណង់ និងភូមិបាល,មន្ត្រីកិច្ចសន្យា,មធ្យមសិក្សាទុតិយភូមិ,04/12/2020,officer,rathsim
832352622,81,ពៅ,សុភា,Pov,Sophea,ស្រី,24/02/1985,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,ប្រធាន,បរិញ្ញាប័ត្រជាន់ខ្ពស់,23/12/2025,officer,sopheapov
625311624,82,ខៀវ,ដាលីន,Khiev,Dalin,ស្រី,20/09/1988,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,អនុប្រធាន,បរិញ្ញាប័ត្រជាន់ខ្ពស់,04/01/2014,officer,dalinkhiev1
915317395,83,ណុប,រ័ត្ន,Nop,Rath,ស្រី,28/09/1974,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,អនុប្រធាន,បរិញ្ញាប័ត្រជាន់ខ្ពស់,27/10/2007,officer,rathnop
358659374,84,ទេព,ម៉ាលី,Tep,Maly,ស្រី,01/04/2004,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,មន្ត្រី,បរិញ្ញាប័ត្រ,05/11/2024,officer,malytep
932992635,85,ហួត,មុនី,Huot,Mony,ប្រុស,26/04/2001,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,មន្ត្រី,បរិញ្ញាប័ត្រ,08/05/2022,officer,monyhuot1
760605344,86,ឡុង,ពិសី,Long,Pisey,ស្រី,13/11/1996,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,02/11/2020,officer,piseylong
958085623,87,ខៀវ,មករា,Khiev,Makara,ប្រុស,26/03/1989,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,មន្ត្រី,បរិញ្ញាប័ត្រ,12/07/2025,officer,makarakhiev
844049786,88,ស៊ីម,ដារា,Sim,Dara,ប្រុស,09/03/1990,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,21/04/2020,officer,darasim1
299323166,89,សេង,ពិសី,Seng,Pisey,ស្រី,02/12/1990,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,មន្ត្រី,បរិញ្ញាប័ត្រ,09/10/2025,officer,piseyseng
652523333,90,ទេព,មុនី,Tep,Mony,ប្រុស,10/01/2002,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,02/07/2022,officer,monytep
645716386,91,សេង,ស្រីនាង,Seng,Srey Neang,ស្រី,05/06/1989,ខ្មែរ,ខ្មែរ,នីតិកម្ម និងសម្រុះសម្រួលវិវាទមូលដ្ឋាន,មន្ត្រីកិច្ចសន្យា,មធ្យមសិក្សាទុតិយភូមិ,16/06/2023,officer,sreyneangseng
453015901,92,សុខ,បញ្ញា,Sok,Panha,ប្រុស,19/06/1975,ខ្មែរ,ខ្មែរ,អង្គភាពលទ្ធកម្ម,ប្រធាន,បរិញ្ញាប័ត្រជាន់ខ្ពស់,16/07/2011,officer,panhasok
314142429,93,ហួត,មករា,Huot,Makara,ប្រុស,22/07/1974,ខ្មែរ,ខ្មែរ,អង្គភាពលទ្ធកម្ម,អនុប្រធាន,បរិញ្ញាប័ត្រជាន់ខ្ពស់,06/06/2019,officer,makarahuot
553090073,94,ម៉ៅ,សុវណ្ណ,Mao,Sovann,ប្រុស,06/06/1978,ខ្មែរ,ខ្មែរ,អង្គភាពលទ្ធកម្ម,អនុប្រធាន,បរិញ្ញាប័ត្រ,14/01/2024,officer,sovannmao
700239801,95,ណុប,ដាលីន,Nop,Dalin,ស្រី,24/11/1994,ខ្មែរ,ខ្មែរ,អង្គភាពលទ្ធកម្ម,មន្ត្រី,បរិញ្ញាប័ត្រ,11/10/2022,officer,dalinnop
829094465,96,ពៅ,ស្រីនាង,Pov,Srey Neang,ស្រី,12/02/1988,ខ្មែរ,ខ្មែរ,អង្គភាពលទ្ធកម្ម,មន្ត្រីកិច្ចសន្យា,បរិញ្ញាប័ត្រ,23/02/2022,officer,sreyneangpov1
132751084,97,ឈឹម,វិចិត្រ,Chhim,Vichet,ប្រុស,07/07/1992,ខ្មែរ,ខ្មែរ,ច្រកចេញចូលតែមួយ,ប្រធាន,បរិញ្ញាប័ត្រជាន់ខ្ពស់,10/02/2020,officer,vichetchhim
594140383,98,វ៉ាន់,វិសាល,Van,Visal,ប្រុស,16/01/1984,ខ្មែរ,ខ្មែរ,ច្រកចេញចូលតែមួយ,អនុប្រធាន,បរិញ្ញាប័ត្រ,31/05/2025,officer,visalvan
485467639,99,ទូច,រ័ត្ន,Touch,Rath,ស្រី,18/03/1975,ខ្មែរ,ខ្មែរ,ច្រកចេញចូលតែមួយ,អនុប្រធាន,បរិញ្ញាប័ត្រជាន់ខ្ពស់,25/12/2009,officer,rathtouch
373650185,100,ខៀវ,ម៉ាលី,Khiev,Maly,ស្រី,11/09/2006,ខ្មែរ,ខ្មែរ,ច្រកចេញចូលតែមួយ,មន្ត្រី,បរិញ្ញាប័ត្រ,02/10/2025,officer,malykhiev
205561041,101,សេង,បញ្ញា,Seng,Panha,ប្រុស,27/09/2002,ខ្មែរ,ខ្មែរ,ច្រកចេញចូលតែមួយ,មន្ត្រី,មធ្យមសិក្សាទុតិយភូមិ,18/09/2023,officer,panhaseng
585801814,102,ចាន់,សុភា,Chan,Sophea,ស្រី,03/01/2003,ខ្មែរ,ខ្មែរ,ច្រកចេញចូលតែមួយ,មន្ត្រី,បរិញ្ញាប័ត្រ,19/12/2023,officer,sopheachan1
